signal_date,apply_year,factor_data_date,num_factors,used_factors,pool_size,min_required_factors,pre_market_filter_count,post_market_filter_count,market_filter_date,float_cap_threshold,amount_threshold
2024-10-25,2024,2024-10-25,45,45,500,9,2788,1761,2024-10-25,3491000000.0,93550600.0
2024-11-01,2024,2024-11-01,45,45,500,9,2788,1760,2024-11-01,3450704000.0,110525600.0
2024-11-08,2024,2024-11-08,45,45,500,9,2788,1759,2024-11-08,3762138000.0,145136000.0
2024-11-15,2024,2024-11-15,45,45,500,9,2788,1759,2024-11-15,3671240000.0,94307480.0
2024-11-22,2024,2024-11-22,45,45,500,9,2788,1759,2024-11-22,3665182000.0,103011200.00000001
2024-11-29,2024,2024-11-29,45,45,500,9,2788,1759,2024-11-29,3825254000.0,95436580.0
2024-12-06,2024,2024-12-06,45,45,500,9,2788,1759,2024-12-06,3998558000.0,103666600.0
2024-12-13,2024,2024-12-13,45,45,500,9,2788,1759,2024-12-13,4038706000.0,122882600.0
2024-12-20,2024,2024-12-20,45,45,500,9,2788,1759,2024-12-20,3905090000.0,72901620.0
2024-12-27,2024,2024-12-27,45,45,500,9,2788,1759,2024-12-27,3773538000.0,71054840.0
2025-01-03,2025,2025-01-03,35,35,500,7,2788,1758,2025-01-03,3400509999.9999995,77941820.0
2025-01-10,2025,2025-01-10,35,35,500,7,2788,1757,2025-01-10,3357354000.0,53074380.0
2025-01-17,2025,2025-01-17,35,35,500,7,2784,1781,2025-01-17,3731732000.0,55133700.00000001
