signal_date,factor_data_date,rank,code,score,valid_factor_count
2025-01-03,2025-01-03,1,002443.SZ,0.2941688870670219,35
2025-01-03,2025-01-03,2,000655.SZ,0.2938511990161919,35
2025-01-03,2025-01-03,3,603878.SH,0.2930518548882969,35
2025-01-03,2025-01-03,4,688186.SH,0.29274441483910624,35
2025-01-03,2025-01-03,5,002478.SZ,0.29148391063742574,35
2025-01-03,2025-01-03,6,600581.SH,0.2890448862471818,35
2025-01-03,2025-01-03,7,603995.SH,0.2790940766550522,35
2025-01-03,2025-01-03,8,601003.SH,0.2765730682516909,35
2025-01-03,2025-01-03,9,002110.SZ,0.2750871080139373,35
2025-01-03,2025-01-03,10,601686.SH,0.2743492518958803,35
2025-01-03,2025-01-03,11,000923.SZ,0.2693482270957164,35
2025-01-03,2025-01-03,12,600507.SH,0.26805697888911667,35
2025-01-03,2025-01-03,13,600782.SH,0.26274851403976224,35
2025-01-03,2025-01-03,14,000761.SZ,0.26146751383480216,35
2025-01-03,2025-01-03,15,001236.SZ,0.26138552982168484,35
2025-01-03,2025-01-03,16,600399.SH,0.2607501537200247,35
2025-01-03,2025-01-03,17,002647.SZ,0.25999180159868834,35
2025-01-03,2025-01-03,18,001203.SZ,0.2597560975609756,35
2025-01-03,2025-01-03,19,600318.SH,0.25720434515269525,35
2025-01-03,2025-01-03,20,000532.SZ,0.2555339208854273,35
2025-01-03,2025-01-03,21,002075.SZ,0.25148596023775355,35
2025-01-03,2025-01-03,22,600053.SH,0.25048165607706496,35
2025-01-03,2025-01-03,23,000778.SZ,0.2501332240213158,35
2025-01-03,2025-01-03,24,002961.SZ,0.24983603197376522,35
2025-01-03,2025-01-03,25,601969.SH,0.24933387989342073,35
2025-01-03,2025-01-03,26,603093.SH,0.24684361549497852,35
2025-01-03,2025-01-03,27,600126.SH,0.24456855913096953,35
2025-01-03,2025-01-03,28,600643.SH,0.24394343103094884,35
2025-01-03,2025-01-03,29,000825.SZ,0.23547858167657307,35
2025-01-03,2025-01-03,30,000935.SZ,0.23401311744209882,35
2025-01-03,2025-01-03,31,600516.SH,0.23315228530436563,35
2025-01-03,2025-01-03,32,603300.SH,0.2331317893010863,35
2025-01-03,2025-01-03,33,600295.SH,0.23204550112728017,35
2025-01-03,2025-01-03,34,000712.SZ,0.2292887886862062,35
2025-01-03,2025-01-03,35,300773.SZ,0.22818200450912068,35
2025-01-03,2025-01-03,36,603353.SH,0.22788481246157,35
2025-01-03,2025-01-03,37,000567.SZ,0.22782332445173192,35
2025-01-03,2025-01-03,38,603727.SH,0.22699323631891782,35
2025-01-03,2025-01-03,39,300191.SZ,0.22532281205164995,35
2025-01-03,2025-01-03,40,600864.SH,0.22442098790735804,35
2025-01-03,2025-01-03,41,600800.SH,0.22379585980733757,35
2025-01-03,2025-01-03,42,002318.SZ,0.22316048370567743,35
2025-01-03,2025-01-03,43,002554.SZ,0.22309899569583927,35
2025-01-03,2025-01-03,44,300135.SZ,0.222853043656487,35
2025-01-03,2025-01-03,45,601375.SH,0.22280180364828858,35
2025-01-03,2025-01-03,46,600906.SH,0.2220332035253125,35
2025-01-03,2025-01-03,47,600155.SH,0.2197683951629433,35
2025-01-03,2025-01-03,48,600120.SH,0.21938921910227505,35
2025-01-03,2025-01-03,49,603132.SH,0.21933797909407668,35
2025-01-03,2025-01-03,50,600621.SH,0.21915351506456243,35
2025-01-03,2025-01-03,51,000096.SZ,0.21882557901209262,35
2025-01-03,2025-01-03,52,002613.SZ,0.21871285099405613,35
2025-01-03,2025-01-03,53,000819.SZ,0.21825169092027055,35
2025-01-03,2025-01-03,54,603223.SH,0.21744209879073587,35
2025-01-03,2025-01-03,55,002398.SZ,0.2172576347612216,35
2025-01-03,2025-01-03,56,603378.SH,0.21711416273826603,35
2025-01-03,2025-01-03,57,000055.SZ,0.21660176265628206,35
2025-01-03,2025-01-03,58,002694.SZ,0.21643779463004714,35
2025-01-03,2025-01-03,59,000968.SZ,0.215833162533306,35
2025-01-03,2025-01-03,60,000686.SZ,0.2148698503791761,35
2025-01-03,2025-01-03,61,000563.SZ,0.21445993031358884,35
2025-01-03,2025-01-03,62,603619.SH,0.21405001024800163,35
2025-01-03,2025-01-03,63,000627.SZ,0.21348637015781924,35
2025-01-03,2025-01-03,64,002578.SZ,0.2127690100430416,35
2025-01-03,2025-01-03,65,600927.SH,0.21249231399877022,35
2025-01-03,2025-01-03,66,000059.SZ,0.21218487394957983,35
2025-01-03,2025-01-03,67,000415.SZ,0.2114367698298832,35
2025-01-03,2025-01-03,68,003038.SZ,0.21028899364623896,35
2025-01-03,2025-01-03,69,600095.SH,0.21017626562820252,35
2025-01-03,2025-01-03,70,002824.SZ,0.20888501742160281,35
2025-01-03,2025-01-03,71,002160.SZ,0.20875179340028702,35
2025-01-03,2025-01-03,72,002201.SZ,0.20869030539044886,35
2025-01-03,2025-01-03,73,600282.SH,0.20805492928878866,35
2025-01-03,2025-01-03,74,603601.SH,0.2078909612625538,35
2025-01-03,2025-01-03,75,002670.SZ,0.2077474892395983,35
2025-01-03,2025-01-03,76,002926.SZ,0.2071531051444968,35
2025-01-03,2025-01-03,77,002500.SZ,0.20638450502152078,35
