signal_date,factor_data_date,rank,code,score,valid_factor_count,pre_market_filter_count,post_market_filter_count,market_filter_date,float_cap_threshold,amount_threshold
2024-01-05,2024-01-05,1,600716.SH,0.41360365732458754,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,2,000926.SZ,0.41097197376267136,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,3,600318.SH,0.40837209302325583,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,4,000838.SZ,0.4077280858676207,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,5,002647.SZ,0.40690121248260785,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,6,000042.SZ,0.4067342476644802,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,7,000532.SZ,0.403267740011926,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,8,000558.SZ,0.39672430928244884,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,9,600053.SH,0.3950387596899223,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,10,300917.SZ,0.3934645199761479,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,11,603093.SH,0.38554561717352415,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,12,000863.SZ,0.38265951103160417,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,13,002824.SZ,0.37310276287020466,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,14,000506.SZ,0.37139336116080296,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,15,600643.SH,0.36998608626515606,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,16,600658.SH,0.3696362552176505,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,17,300127.SZ,0.3683879944345059,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,18,000560.SZ,0.36636851520572444,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,19,688190.SH,0.36543033194195995,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,20,002379.SZ,0.35788511230371706,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,21,600906.SH,0.35575432319618366,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,22,000737.SZ,0.35575432319618355,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,23,002208.SZ,0.35541244285430323,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,24,002443.SZ,0.3549910554561717,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,25,605158.SH,0.3525581395348837,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,26,600736.SH,0.34843172331544425,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,27,002167.SZ,0.34842377260981927,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,28,002478.SZ,0.34778771615980913,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,29,300773.SZ,0.3333253826277082,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,30,603300.SH,0.3330391572252037,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,31,603399.SH,0.3330391572252037,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,32,000415.SZ,0.3328483402902008,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,33,600864.SH,0.33066189624329156,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,34,000655.SZ,0.32954084675014916,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,35,688186.SH,0.32830053667262976,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,36,000517.SZ,0.3255018882925859,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,37,300873.SZ,0.325056648777579,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,38,000006.SZ,0.3247386205525741,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,39,002627.SZ,0.32392764857881134,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,40,300337.SZ,0.32011926058437695,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,41,000712.SZ,0.31982508447624725,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,42,603353.SH,0.3192844364937389,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
2024-01-05,2024-01-05,43,000962.SZ,0.31685947127807595,45,2795,1789,2024-01-05,3603796000.0000005,43422700.0
