signal_date,factor_data_date,rank,code,score,valid_factor_count
2022-01-07,2022-01-07,1,002761.SZ,0.41481736234297506,46
2022-01-07,2022-01-07,2,300592.SZ,0.41376751258009625,46
2022-01-07,2022-01-07,3,300506.SZ,0.4118759729211164,46
2022-01-07,2022-01-07,4,300500.SZ,0.40970386996343605,46
2022-01-07,2022-01-07,5,002822.SZ,0.40569452992071825,46
2022-01-07,2022-01-07,6,002717.SZ,0.4055316221988924,46
2022-01-07,2022-01-07,7,600133.SH,0.4031694602324151,46
2022-01-07,2022-01-07,8,300536.SZ,0.3996397929261845,46
2022-01-07,2022-01-07,9,002989.SZ,0.3991872714766679,46
2022-01-07,2022-01-07,10,002469.SZ,0.3984541867284508,46
2022-01-07,2022-01-07,11,603815.SH,0.3981102704268182,46
2022-01-07,2022-01-07,12,002062.SZ,0.39684321036817155,46
2022-01-07,2022-01-07,13,600512.SH,0.39466205698150103,46
2022-01-07,2022-01-07,14,605178.SH,0.3940918799551098,46
2022-01-07,2022-01-07,15,002542.SZ,0.3939832748072259,46
2022-01-07,2022-01-07,16,300384.SZ,0.39323208920102815,46
2022-01-07,2022-01-07,17,000498.SZ,0.391847373565507,46
2022-01-07,2022-01-07,18,002307.SZ,0.39180212142055537,46
2022-01-07,2022-01-07,19,300284.SZ,0.390136842486334,46
2022-01-07,2022-01-07,20,603717.SH,0.3899648843355175,46
2022-01-07,2022-01-07,21,601789.SH,0.38943090902508787,46
2022-01-07,2022-01-07,22,600284.SH,0.389304203019223,46
2022-01-07,2022-01-07,23,002047.SZ,0.38904174057850344,46
2022-01-07,2022-01-07,24,600248.SH,0.38885168156970634,46
2022-01-07,2022-01-07,25,002431.SZ,0.3882272019693734,46
2022-01-07,2022-01-07,26,000065.SZ,0.3868153350468811,46
2022-01-07,2022-01-07,27,603458.SH,0.38533106469246625,46
2022-01-07,2022-01-07,28,002060.SZ,0.38197335553705253,46
2022-01-07,2022-01-07,29,300355.SZ,0.38117691778590296,46
2022-01-07,2022-01-07,30,600502.SH,0.37979220215038184,46
2022-01-07,2022-01-07,31,002941.SZ,0.3747239619157948,46
2022-01-07,2022-01-07,32,603081.SH,0.3746606089128625,46
2022-01-07,2022-01-07,33,002061.SZ,0.3709046808818738,46
2022-01-07,2022-01-07,34,002310.SZ,0.3706331680121638,46
2022-01-07,2022-01-07,35,002051.SZ,0.3702892517105311,46
2022-01-07,2022-01-07,36,603018.SH,0.36905839336784574,46
2022-01-07,2022-01-07,37,300712.SZ,0.3674474170075662,46
2022-01-07,2022-01-07,38,002140.SZ,0.36620750823589016,46
2022-01-07,2022-01-07,39,600477.SH,0.3641621112840749,46
2022-01-07,2022-01-07,40,603359.SH,0.36402635484921986,46
2022-01-07,2022-01-07,41,601226.SH,0.36245158020490154,46
2022-01-07,2022-01-07,42,600496.SH,0.36189045360750105,46
2022-01-07,2022-01-07,43,002545.SZ,0.36042428411106675,46
2022-01-07,2022-01-07,44,600491.SH,0.35830648372732865,46
2022-01-07,2022-01-07,45,601886.SH,0.3571751801035369,46
2022-01-07,2022-01-07,46,600939.SH,0.35651449878724245,46
2022-01-07,2022-01-07,47,002375.SZ,0.3563063389204648,46
2022-01-07,2022-01-07,48,000928.SZ,0.3529486297650511,46
2022-01-07,2022-01-07,49,603959.SH,0.3529033776200992,46
2022-01-07,2022-01-07,50,002135.SZ,0.3476722296636861,46
2022-01-07,2022-01-07,51,603466.SH,0.3366397567244688,46
2022-01-07,2022-01-07,52,002081.SZ,0.3293360605292691,46
2022-01-07,2022-01-07,53,603979.SH,0.32751692430221196,46
2022-01-07,2022-01-07,54,601068.SH,0.3177334105636607,46
2022-01-07,2022-01-07,55,002541.SZ,0.3145657604170437,46
2022-01-07,2022-01-07,56,600820.SH,0.3101763023567316,46
2022-01-07,2022-01-07,57,600215.SH,0.30800419939905144,46
2022-01-07,2022-01-07,58,600638.SH,0.30476414582051187,46
2022-01-07,2022-01-07,59,600970.SH,0.3044654816638308,46
